,nomal,,abnomal,,none_tracking_code,
64,, ,"['http://www.heikinman.com/archive/2017/04/12', [{'timestamp': 1522764909718, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/archive/2017/04/12:1227)""}]]", ,, 
65,, ,"['http://www.heikinman.com/entry/tyousyosinsya_blog1', [{'timestamp': 1522764912352, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/tyousyosinsya_blog1:1776)""}]]", ,, 
66,, ,"['http://www.heikinman.com/entry/kiseki', [{'timestamp': 1522764915718, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/kiseki:1701)""}]]", ,, 
67,, ,"['http://www.heikinman.com/entry/wet-tissue', [{'timestamp': 1522764918857, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/wet-tissue:1625)""}]]", ,, 
68,, ,"['http://www.heikinman.com/%EF%BC%91%E9%9A%8E%E5%B1%A4%E7%9B%AE%E3%81%AE%E3%83%AA%E3%83%B3%E3%82%AF#', [{'timestamp': 1522764921638, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/%EF%BC%91%E9%9A%8E%E5%B1%A4%E7%9B%AE%E3%81%AE%E3%83%AA%E3%83%B3%E3%82%AF#:1176)""}]]", ,, 
69,, ,"['http://www.heikinman.com/contact#', [{'timestamp': 1522764924099, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/contact#:1254)""}]]", ,, 
70,, ,"['http://www.heikinman.com/privacy_policy#', [{'timestamp': 1522764926539, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/privacy_policy#:1257)""}]]", ,, 
71,, ,"['http://www.heikinman.com/archive/2018/03/27#', [{'timestamp': 1522764928955, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/archive/2018/03/27#:1234)""}]]", ,, 
72,, ,"['http://www.heikinman.com/archive/2018/03/%EF%BC%91%E9%9A%8E%E5%B1%A4%E7%9B%AE%E3%81%AE%E3%83%AA%E3%83%B3%E3%82%AF', [{'timestamp': 1522764931586, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/archive/2018/03/%EF%BC%91%E9%9A%8E%E5%B1%A4%E7%9B%AE%E3%81%AE%E3%83%AA%E3%83%B3%E3%82%AF:1176)""}]]", ,, 
73,, ,"['http://www.heikinman.com/entry/compact_car#', [{'timestamp': 1522764934039, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#:1711)""}]]", ,, 
74,, ,"['http://www.heikinman.com/entry/compact_car#%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88', [{'timestamp': 1522764936982, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88:1711)""}]]", ,, 
75,, ,"['http://www.heikinman.com/entry/compact_car#%E8%BB%8A%E4%B8%A1%E3%81%8C%E5%AE%89%E3%81%84', [{'timestamp': 1522764939901, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#%E8%BB%8A%E4%B8%A1%E3%81%8C%E5%AE%89%E3%81%84:1711)""}]]", ,, 
76,, ,"['http://www.heikinman.com/entry/compact_car#%E8%BB%8A%E4%B8%A1%E4%BF%9D%E9%99%BA%E3%81%AB%E5%85%A5%E3%82%89%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%84%E3%81%84', [{'timestamp': 1522764942868, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#%E8%BB%8A%E4%B8%A1%E4%BF%9D%E9%99%BA%E3%81%AB%E5%85%A5%E3%82%89%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%84%E3%81%84:1711)""}]]", ,, 
77,, ,"['http://www.heikinman.com/entry/compact_car#%E3%82%BF%E3%82%A4%E3%83%A4%E3%81%8C%E5%AE%89%E3%81%84', [{'timestamp': 1522764945805, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#%E3%82%BF%E3%82%A4%E3%83%A4%E3%81%8C%E5%AE%89%E3%81%84:1711)""}]]", ,, 
78,, ,"['http://www.heikinman.com/entry/compact_car#%E7%87%83%E8%B2%BB%E3%81%8C%E8%89%AF%E3%81%84', [{'timestamp': 1522764948802, 'level': 'WARNING', 'message': ""ReferenceError: Can't find variable: Hatena\n  (anonymous function) (http://www.heikinman.com/entry/compact_car#%E7%87%83%E8%B2%BB%E3%81%8C%E8%89%AF%E3%81%84:1711)""}]]", ,, 
